benchmark_uri,suite,protocol,batch,pass_flag,sample_idx,elapsed_sec,returncode,out_sha256,input_file
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,2,1.015578496,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,3,1.013040389,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,4,1.020024573,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,0,1.014558776,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,1,1.090476221,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,2,1.008233527,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,3,1.012730670,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-licm,4,1.015080669,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,0,1.012102372,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,1,1.036850241,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,-loop-rotate,2,1.025799511,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
